英文詞彙,詞性,中文解釋
after,prep,在...之後 (介係詞)
afternoon,n,下午 (名詞)
afterwards,adv,之後；後來 (副詞)
again,adv,再次；又 (副詞)
against,prep,反對；倚靠 (介係詞)
age,n,年齡；時代 (名詞)
aged,adj,年老的；...歲的 (形容詞)
agency,n,代辦處；經銷機構 (名詞) (例如: a travel agency 旅行社)
ages,n pl,很長時間 (名詞複數) (例如: It took ages for the bus to arrive.)
ago,adv,以前 (副詞)
agree,v,同意 (動詞)
ahead,adv,在前面；領先 (副詞)
aim,n,目標；目的 (名詞)
aim,v,瞄準；致力於 (動詞)
air,n,空氣；空中 (名詞)
air conditioning,n,空調 (名詞)
air force,n,空軍 (名詞)
airline,n,航空公司 (名詞)
airport,n,機場 (名詞)
alarm,n,警報；鬧鐘 (名詞)
alarm clock,n,鬧鐘 (名詞)
album,n,相簿；專輯 (名詞)
alike,adv,相似地；一樣地 (副詞)
alive,adj,活著的；有生氣的 (形容詞)
all,adj,全部的 (形容詞)
all,adv,完全地 (副詞)
all,det,所有的 (限定詞)
all,pron,全部 (代名詞)
all right,adj,好的；沒問題的 (形容詞)
all right,adv,順利地 (副詞)
all right,exclam,好吧 (感嘆詞)
alright,adj,好的；沒問題的 (形容詞) (all right的另一種拼法)
allow,v,允許 (動詞)
almost,adv,幾乎；差不多 (副詞)
alone,adj,單獨的；孤獨的 (形容詞)
alone,adv,獨自地 (副詞)
along,adv,向前；沿著 (副詞)
along,prep,沿著 (介係詞)
aloud,adv,大聲地 (副詞)
alphabet,n,字母表 (名詞)
already,adv,已經 (副詞)
also,adv,也；此外 (副詞)
although,conj,雖然；儘管 (連接詞)
altogether,adv,總共；完全 (副詞)
always,adv,總是；一直 (副詞)
a.m.,adv,上午 (名詞) (ante meridiem的縮寫)
amazed,adj,感到驚奇的 (形容詞)
amazing,adj,令人驚奇的；極好的 (形容詞)
ambition,n,抱負；野心 (名詞)
ambulance,n,救護車 (名詞)
among,prep,在...之中 (三者或以上) (介係詞)
amongst,prep,在...之中 (三者或以上) (介係詞) (among的另一種寫法)
amount,n,數量；總額 (名詞)
amusing,adj,有趣的；好笑的 (形容詞)
ancient,adj,古代的；古老的 (形容詞)
and,conj,和；並且 (連接詞)
angry,adj,生氣的 (形容詞)
animal,n,動物 (名詞)
ankle,n,腳踝 (名詞)
anniversary,n,週年紀念日 (名詞)
announce,v,宣布；宣告 (動詞)
announcement,n,宣布；公告 (名詞)
annoy,v,使惱怒；打擾 (動詞)
annual,adj,每年的；年度的 (形容詞)
another,det,另一個；再一個 (限定詞)
another,pron,另一個 (代名詞)
answer,n,答案；回答 (名詞)
answer,v,回答；回應 (動詞)
answerphone,n,電話答錄機 (名詞)
ant,n,螞蟻 (名詞)
antique,adj,古董的 (形容詞)
antique,n,古董 (名詞)
anxious,adj,焦慮的；擔憂的 (形容詞)
any,det,任何的；一些 (限定詞)
any,pron,任何一個；任何一些 (代名詞)
anybody,pron,任何人 (代名詞)
anymore,adv,再也(不) (副詞) (通常用於否定句或疑問句)
anyone,pron,任何人 (代名詞)
anything,pron,任何事物 (代名詞)
anyway,adv,無論如何；反正 (副詞)
anywhere,adv,任何地方 (副詞)
apart,adv,分開地；相隔 (副詞)
apart from,prep phr,除了...之外 (介片語)
apartment,n,公寓套房 (名詞) (尤指美式英語)
apartment building,n,公寓大樓 (名詞)
apologise,v,道歉 (動詞) (英式拼法)
apologize,v,道歉 (動詞) (美式拼法)
apology,n,道歉 (名詞)
app,n,應用程式 (名詞) (application的縮寫) (例如: Download the app to your phone.)
appear,v,出現；似乎 (動詞)
appearance,n,外貌；出現 (名詞)
apple,n,蘋果 (名詞)
application,n,申請；應用程式 (名詞) (例如: job application, application form)
apply,v,申請；應用 (動詞)
appointment,n,預約；約會；任命 (名詞)
approach,v,接近；靠近；著手處理 (動詞)
approve,v,批准；贊成 (動詞)
approximately,adv,大約；近似地 (副詞)
architect,n,建築師 (名詞)
architecture,n,建築學；建築風格 (名詞)
area,n,地區；區域；領域 (名詞)
argue,v,爭論；辯論 (動詞)
argument,n,爭論；論點 (名詞)
arm,n,手臂；武器 (名詞)
armchair,n,扶手椅 (名詞)
army,n,軍隊 (名詞)
around,adv,在周圍；大約 (副詞)
around,prep,圍繞；在...附近 (介係詞)
arrange,v,安排；整理 (動詞)
arrangement,n,安排；佈置 (名詞)
arrest,v,逮捕 (動詞)
arrival,n,到達 (名詞)
arrive,v,到達 (動詞)
art,n,藝術；美術 (名詞)
article,n,文章；物品；冠詞 (名詞)
artist,n,藝術家；畫家 (名詞)
as,conj,當...時；因為；如同 (連接詞)
as,prep,作為；如同 (介係詞)
ashamed,adj,感到羞愧的；慚愧的 (形容詞)
ask,v,問；要求 (動詞)
asleep,adj,睡著的 (形容詞)
as long as,phr,只要 (片語)
aspirin,n,阿斯匹靈 (名詞)
assist,v,協助；幫助 (動詞)
assistant,n,助理；助手 (名詞)
astronaut,n,太空人；宇航員 (名詞)
as well (as),prep phr,也；以及 (介片語)
at,prep,在...(地點、時間) (介係詞)
@,n,電子郵件地址符號 (小老鼠) (名詞) (例如: My email address is david@cambridgeesol.org)
at all,prep phr,一點也(不) (介片語) (用於否定句或疑問句)
at first,prep phr,起初；首先 (介片語)
athlete,n,運動員 (名詞)
athletics,n,田徑運動 (名詞) (英式英語)
at last,prep phr,終於；最後 (介片語)
at least,prep phr,至少 (介片語)
atmosphere,n,大氣；氣氛 (名詞)
at once,prep phr,立刻；馬上 (介片語)
at present,prep phr,目前；現在 (介片語)
attach,v,附上；繫上 (動詞)
attack,n,攻擊；襲擊 (名詞)
attack,v,攻擊；襲擊 (動詞)
attempt,v,嘗試；企圖 (動詞)
attend,v,出席；參加；照料 (動詞)
attention,n,注意；專心 (名詞)
at the same time,prep phr,同時 (介片語)
attitude,n,態度；看法 (名詞)
attract,v,吸引 (動詞)
attraction,n,吸引力；有吸引力的人事物 (名詞)
attractive,adj,有吸引力的；迷人的 (形容詞)
audience,n,觀眾；聽眾 (名詞)
aunt,n,姑媽；姨媽；嬸嬸；伯母；舅媽 (名詞)
author,n,作者；作家 (名詞)
autumn,n,秋天 (名詞) (英式英語；美式英語用 fall)
available,adj,可獲得的；有空的 (形容詞)
average,adj,平均的；普通的 (形容詞)
average,n,平均數；平均水平 (名詞)
avoid,v,避免；躲開 (動詞)
awake,adj,醒著的 (形容詞)
away,adv,離開；遠離 (副詞)
awesome,adj,極好的；令人敬畏的 (形容詞)
awful,adj,糟糕的；可怕的 (形容詞)
baby,n,嬰兒 (名詞)
babysit,v,當臨時保姆；照顧嬰兒 (動詞)
babysitter,n,臨時保姆 (名詞)
back,adv,向後地；回到原處 (副詞)
back,adj,後面的 (形容詞)
back,n,背部；後面 (名詞)
background,n,背景 (名詞)
background (experience),n,背景(經歷) (名詞)
backpack,n,背包；行囊 (名詞)
backpacker,n,背包客 (名詞)
backpacking,n,背包旅行 (名詞)
backwards,adv,向後地 (副詞)
bad,adj,壞的；差的 (形容詞)
badly,adv,差地；嚴重地 (副詞)
badminton,n,羽毛球 (名詞)
bag,n,袋子 (名詞)
baggage,n,行李 (名詞) (不可數，尤指美式英語)
bake,v,烘；烤 (動詞)
baker,n,麵包師傅 (名詞)
balcony,n,陽台 (名詞)
bald,adj,禿頭的 (形容詞)
ball,n,球 (名詞)
ballet,n,芭蕾舞 (名詞)
balloon,n,氣球 (名詞)
banana,n,香蕉 (名詞)
band,n,樂團；帶子 (名詞)
bandage,n,繃帶 (名詞)
bank,n,銀行；河岸 (名詞)
bank account,n,銀行帳戶 (名詞)
banking,n,銀行業 (名詞)
bar,n,酒吧；條；棒 (名詞)
barbecue,n,烤肉 (名詞)
barbecue,v,烤肉 (動詞)
barber,n,理髮師 (名詞) (尤指男士)
baseball,n,棒球 (名詞)
base on,phr v,基於 (片語動詞)
basic,adj,基本的 (形容詞)
basin,n,臉盆；盆地 (名詞)
basket,n,籃子 (名詞)
basketball,n,籃球 (名詞)
bat,n,球棒；蝙蝠 (名詞)
bath,n,沐浴；浴缸 (名詞) (尤指英式英語)
bath,v,洗澡 (動詞) (尤指英式英語)
bathing suit,n,泳衣 (名詞)
bathroom,n,浴室；洗手間 (名詞)
bathtub,n,浴缸 (名詞)
battery,n,電池 (名詞)
battle,n,戰鬥；戰役 (名詞)
bay,n,海灣 (名詞)
be,av,是 (助動詞)
be,v,是；在 (動詞)
beach,n,海灘 (名詞)
bean,n,豆子 (名詞)
bear,n,熊 (名詞)
beard,n,鬍鬚 (名詞) (下巴上的)
beat,v,打敗；敲打；(心臟)跳動 (動詞)
beautiful,adj,美麗的 (形容詞)
beauty,n,美麗；美人 (名詞)
because,conj,因為 (連接詞)
because of,prep phr,因為；由於 (介片語)
become,v,變成；成為 (動詞)
bed,n,床 (名詞)
bedroom,n,臥室 (名詞)
bee,n,蜜蜂 (名詞)
beef,n,牛肉 (名詞)
before,prep,在...之前 (介係詞)
before,adv,以前 (副詞)
before,conj,在...之前 (連接詞)
begin,v,開始 (動詞)
beginner,n,初學者 (名詞)
beginning,n,開始；開端 (名詞)
behave,v,表現；行為舉止 (動詞)
behaviour,n,行為；舉止 (名詞) (英式拼法)
behavior,n,行為；舉止 (名詞) (美式拼法)
behind,prep,在...後面 (介係詞)
behind,adv,在後面 (副詞)
believe,v,相信；認為 (動詞)
bell,n,鈴；鐘 (名詞)
belong,v,屬於 (動詞)
below,adv,在下面 (副詞)
below,prep,在...下面 (介係詞)
belt,n,皮帶；腰帶 (名詞)
beneath,prep,在...下方 (介係詞)
benefit,n,利益；好處 (名詞)
benefit,v,有益於；受益 (動詞)
be over,phr v,結束 (片語動詞) (例如: The game is over – you're too late!)
beside,prep,在...旁邊 (介係詞)
besides,prep,除了...之外(還) (介係詞)
best,adj,最好的 (形容詞) (good的最高級)
best,adv,最好地 (副詞) (well的最高級)
bestseller,n,暢銷書；暢銷品 (名詞)
better,adj,較好的 (形容詞) (good的比較級)
better,adv,更好地 (副詞) (well的比較級)
between,prep,在...(兩者)之間 (介係詞)
between,adv,在中間 (副詞)
beyond,prep,超越；在...那邊 (介係詞)
beyond,adv,在更遠處 (副詞)
bicycle,n,自行車；腳踏車 (名詞)
big,adj,大的 (形容詞)
bike,n,自行車；摩托車 (名詞)
bill,n,帳單；鈔票；法案 (名詞) (例如: electricity bill 電費帳單)
bin,n,垃圾桶 (名詞) (尤指英式英語)
biography,n,傳記 (名詞)
biology,n,生物學 (名詞)
bird,n,鳥 (名詞)
birth,n,出生 (名詞)
birthday,n,生日 (名詞)
biscuit,n,餅乾 (名詞) (英式英語)
bit,n,一點；少量 (名詞)
bite,v,咬 (動詞)
bitter,adj,苦的；痛苦的 (形容詞)
black,adj,黑色的 (形容詞)
black,n,黑色 (名詞)
blackboard,n,黑板 (名詞)
blame,v,責備；歸咎於 (動詞)
blank,adj,空白的；茫然的 (形容詞) (例如: a blank piece of paper)
blanket,n,毯子 (名詞)
bleed,v,流血 (動詞)
blind,adj,瞎的；盲目的 (形容詞)
block,n,街區；塊；阻塞物 (名詞) (例如: Shall we walk round the block?; block of flats 公寓大樓)
blog,n,部落格；網誌 (名詞)
blogger,n,部落客；寫網誌的人 (名詞)
blond,adj,金色的(頭髮) (形容詞) (通常指男性)
blonde,adj,金色的(頭髮) (形容詞) (通常指女性)
blood,n,血液 (名詞)
blouse,n,女式襯衫 (名詞)
blow,v,吹；吹動；爆炸 (動詞)
blue,adj,藍色的；憂鬱的 (形容詞)
blue,n,藍色 (名詞)
board,n,木板；委員會；佈告牌 (名詞)
board,v,登(船、飛機、火車等) (動詞)
board game,n,桌遊；棋盤遊戲 (名詞)
boarding pass,n,登機證 (名詞)
boat,n,船 (名詞)
body,n,身體；屍體；主要部分 (名詞)
boil,v,煮沸；烹煮 (動詞)
boiled,adj,煮熟的 (形容詞)
bold,adj,大膽的；粗體的 (形容詞)
bomb,n,炸彈 (名詞)
bomb,v,轟炸 (動詞)
bone,n,骨頭 (名詞)
book,n,書 (名詞)
book,v,預訂 (動詞)
bookcase,n,書櫃 (名詞)
booking,n,預訂 (名詞) (例如: I have a booking for the 19th.)
booking office,n,售票處 (名詞)
bookshelf,n,書架 (名詞)
bookshop,n,書店 (名詞) (英式英語)
bookstore,n,書店 (名詞) (美式英語)
boot,n,靴子；(汽車的)行李箱 (名詞) (例如: a pair of boots; the boot of the car (Am Eng: trunk))
border,n,邊界；邊緣 (名詞)
bored,adj,感到厭煩的 (形容詞)
boring,adj,令人厭煩的；無聊的 (形容詞)
born,adj,出生的 (形容詞)
borrow,v,借入 (動詞)
boss,n,老闆；上司 (名詞)
both,pron,兩者都 (代名詞)
both,det,兩者的 (限定詞)
bother,v,打擾；費心 (動詞) (例如: Sorry to bother you...; My job's hard but that doesn't bother me.; 'Don't bother!')
bottle,n,瓶子 (名詞)
bottom,adj,底部的 (形容詞)
bottom,n,底部 (名詞)
bowl,n,碗 (名詞)
box,n,盒子；箱子 (名詞)
boy,n,男孩 (名詞)
boyfriend,n,男朋友 (名詞)
bracelet,n,手鐲；手鍊 (名詞)
brain,n,腦；智力 (名詞)
brake,n,煞車 (名詞)
brake,v,煞車 (動詞)
branch,n,樹枝；分公司；分支 (名詞)
brand new,adj,全新的 (形容詞)
brave,adj,勇敢的 (形容詞)
bread,n,麵包 (名詞)
break,n,休息；破裂 (名詞)
break,v,打破；破壞；休息 (動詞)
break down,phr v,故障；崩潰 (片語動詞) (例如: The car has broken down.)
breakfast,n,早餐 (名詞)
break in,phr v,闖入；打斷 (片語動詞) (例如: Someone broke in and stole the computer.)
break up,phr v,結束(關係、學期)；解散 (片語動詞) (例如: When does school break up?; The pop group has broken up.)
breath,n,呼吸；氣息 (名詞)
breathe,v,呼吸 (動詞)
breeze,n,微風 (名詞)
bride,n,新娘 (名詞)
bridge,n,橋 (名詞)
brief,adj,簡短的；扼要的 (形容詞)
bright,adj,明亮的；聰明的 (形容詞)
brilliant,adj,傑出的；明亮的；燦爛的 (形容詞)
bring,v,帶來；拿來 (動詞)
bring up,phr v,撫養長大；提出(話題) (片語動詞) (例如: She was brought up in London.)
broad,adj,寬闊的；廣泛的 (形容詞)
broccoli,n,青花菜；花椰菜 (名詞)
brochure,n,小冊子 (名詞)
broken,adj,破碎的；壞掉的 (形容詞)
brother,n,兄弟 (名詞)
brown,adj,棕色的；褐色的 (形容詞)
brown,n,棕色；褐色 (名詞)
brush,n,刷子 (名詞)
brush,v,刷 (動詞)
bucket,n,水桶 (名詞)
bug,n,蟲子；(電腦程式的)錯誤 (名詞) (例如: He found a bug in his bed.)
build,v,建造；建立 (動詞)
building,n,建築物 (名詞)
bulb,n,燈泡；球莖 (名詞) (例如: light bulb)
bull,n,公牛 (名詞)
bunch,n,串；束；群 (名詞) (例如: a bunch of flowers; a great bunch of friends)
burger,n,漢堡 (名詞)
burn,v,燃燒；燒傷 (動詞)
burning,adj,燃燒的；灼熱的 (形容詞)
bury,v,埋葬；掩埋 (動詞)
bus,n,公車；巴士 (名詞)
business,n,生意；商業；事務 (名詞)
businessman,n,商人 (名詞)
businesswoman,n,女商人 (名詞)
bus station,n,公車總站 (名詞)
bus stop,n,公車站牌 (名詞)
busy,adj,忙碌的 (形容詞)
but,conj,但是 (連接詞)
but,prep,除了 (介係詞)
butcher,n,肉販；屠夫 (名詞)
butter,n,奶油 (名詞)
butterfly,n,蝴蝶 (名詞)
button,n,按鈕；鈕扣 (名詞)
buy,v,買 (動詞)
buyer,n,買家 (名詞)
by,prep,藉由；在...旁邊；不遲於 (介係詞)
by accident,prep phr,偶然地；意外地 (介片語)
by hand,prep phr,用手；手工 (介片語)
by mistake,prep phr,錯誤地；無意中 (介片語)
by name,prep phr,憑名字 (介片語)
bye,exclam,再見 (感嘆詞)
cab,n,計程車 (名詞) (尤指美式英語)
cabbage,n,甘藍菜；高麗菜 (名詞)
cabin,n,小屋；船艙；機艙 (名詞)
cabinet,n,櫥櫃；內閣 (名詞)
cable,n,電纜；纜線 (名詞)
café,n,咖啡館；小餐館 (名詞)
cafe,n,咖啡館；小餐館 (名詞)
cafeteria,n,自助餐廳 (名詞)
cage,n,籠子 (名詞)
cake,n,蛋糕 (名詞)
calculator,n,計算機 (名詞)
calendar,n,日曆；行事曆 (名詞)
calf,n,小牛；小腿 (名詞)
call,n,呼叫；電話 (名詞)
call,v,打電話；稱呼；呼叫 (動詞)
call for,phr v,需要；要求；去接(某人) (片語動詞) (例如: I'll call for you at 7.)
call in,phr v,順道拜訪；召來 (片語動詞) (例如: She called in to see a friend.)
calm,adj,平靜的；鎮靜的 (形容詞)
camel,n,駱駝 (名詞)
camera,n,相機 (名詞)
camp,n,營地；露營 (名詞)
camp,v,露營 (動詞)
camping,n,露營 (名詞)
campsite,n,露營地 (名詞)
can,n,罐頭 (名詞)
can,mv,能夠；可以 (情態助動詞)
canal,n,運河 (名詞)
cancel,v,取消 (動詞)
candidate,n,候選人；應試者 (名詞)
candle,n,蠟燭 (名詞)
candy,n,糖果 (名詞) (尤指美式英語)
canteen,n,食堂；餐廳 (名詞) (尤指學校或工廠的)
cap,n,帽子(無邊或有帽舌的)；蓋子 (名詞)
capital,adj,主要的；資本的；大寫的 (形容詞)
capital,n,首都；資本；大寫字母 (名詞) (例如: capital city; capital letter; the capital of Italy)
captain,n,隊長；船長；機長 (名詞)
car,n,汽車 (名詞)
card,n,卡片；紙牌 (名詞) (例如: birthday card, credit card, card game)
cardboard,adj,硬紙板製的 (形容詞)
cardboard,n,硬紙板 (名詞)
care,n,照顧；小心 (名詞) (例如: take care of someone)
care,v,關心；在意；照顧 (動詞) (例如: to care (about/for) someone / something)
career,n,職業；生涯 (名詞)
careful,adj,小心的；仔細的 (形容詞)
carefully,adv,小心地；仔細地 (副詞)
careless,adj,粗心的；不在乎的 (形容詞)
car park,n,停車場 (名詞) (英式英語)
carpet,n,地毯 (名詞)
carrot,n,胡蘿蔔 (名詞)
carry,v,攜帶；運送 (動詞)
carry on,phr v,繼續 (片語動詞) (例如: He carried on walking despite the rain.)
carry out,phr v,執行；實行 (片語動詞) (例如: She carried out the plan according to the instructions.)
cartoon,n,卡通；漫畫 (名詞)
case,n,情況；箱子；案例 (名詞) (例如: Would you like me to carry your case?; I'll make an exception in this case.)
cash,n,現金 (名詞)
cashpoint,n,自動提款機 (名詞) (英式英語)
castle,n,城堡 (名詞)
casual,adj,休閒的；非正式的；隨便的 (形容詞) (例如: casual clothes)
cat,n,貓 (名詞)
catch,v,抓住；趕上；感染(疾病) (動詞)
cathedral,n,大教堂 (名詞)
cattle,n,牛群 (名詞) (總稱)
cave,n,洞穴 (名詞)
CD,n,光碟 (名詞) (Compact Disc)
CD player,n,CD播放器 (名詞)
ceiling,n,天花板 (名詞)
celebrate,v,慶祝 (動詞)
celebration,n,慶祝；慶典 (名詞)
celebrity,n,名人 (名詞)
cell phone,n,手機 (名詞) (美式英語)
cent,n,分 (貨幣單位) (名詞)
centimetre,n,公分 (名詞) (英式拼法 cm)
centimeter,n,公分 (名詞) (美式拼法 cm)
central,adj,中央的；主要的 (形容詞)
central heating,n,中央暖氣系統 (名詞)
centre,n,中心 (名詞) (英式拼法)
center,n,中心 (名詞) (美式拼法)
century,n,世紀 (名詞)
cereal,n,穀類食品；麥片 (名詞)
ceremony,n,典禮；儀式 (名詞)
certain,adj,確定的；某個 (形容詞)
certainly,adv,當然；肯定地 (副詞) (certainly (not))
certificate,n,證書；證明 (名詞)
chain,n,鏈條；連鎖店 (名詞)
chair,n,椅子 (名詞)
challenge,n,挑戰 (名詞)
challenge,v,挑戰 (動詞)
challenging,adj,有挑戰性的 (形容詞)
champion,n,冠軍 (名詞)
championship,n,冠軍賽；錦標賽 (名詞)
chance,n,機會；可能性 (名詞)
change,n,改變；零錢 (名詞)
change,v,改變；更換 (動詞)
changing room,n,更衣室 (名詞)
channel,n,頻道；海峽；管道 (名詞)
chapter,n,章節 (名詞)
character,n,性格；角色；文字 (名詞)
charge,n,費用；指控；充電 (名詞)
charge,v,收費；指控；充電 (動詞)
charity,n,慈善機構；慈善 (名詞) (例如: She works for a charity.)
charming,adj,迷人的；有魅力的 (形容詞)
chat,n,聊天；閒談 (名詞)
chat,v,聊天；閒談 (動詞) (例如: to chat online)
chatroom,n,聊天室 (名詞)
chat show,n,脫口秀節目 (名詞) (英式英語)
cheap,adj,便宜的 (形容詞)
cheat,v,作弊；欺騙 (動詞)
check,n,檢查；核對；支票(美式) (名詞)
check,v,檢查；核對 (動詞)
check in,phr v,辦理登記手續(住宿、登機) (片語動詞) (例如: They checked in to a hotel.)
check-in,n,登記處；辦理登記手續 (名詞) (例如: Your keys are at the check-in desk.)
check out,phr v,結帳離開；查看 (片語動詞) (例如: He checked out of the hotel at the end of his stay.)
checkout,n,結帳櫃台；結帳 (名詞)
cheek,n,臉頰 (名詞)
cheerful,adj,快樂的；興高采烈的 (形容詞)
cheers,exclam,乾杯；謝謝；再見 (感嘆詞) (英式)
cheese,n,起司；乳酪 (名詞)
chef,n,主廚 (名詞)
chemist,n,化學家；藥劑師；藥局(英式) (名詞)
chemistry,n,化學 (名詞)
cheque,n,支票 (名詞) (英式拼法)
chess,n,西洋棋 (名詞)
chest of drawers,n,五斗櫃；抽屜櫃 (名詞)
chicken,n,雞；雞肉 (名詞)
child,n,小孩 (名詞)
childhood,n,童年 (名詞)
chilli,n,辣椒 (名詞)
chin,n,下巴 (名詞)
chip,n,薯條(英式)；晶片；碎片 (名詞) (例如: I love fish and chips.)
chocolate,n,巧克力 (名詞)
choice,n,選擇 (名詞)
choose,v,選擇 (動詞)
cinema,n,電影院 (名詞) (尤指英式英語)
circle,n,圓圈；圈子 (名詞)
circus,n,馬戲團 (名詞)
city,n,城市 (名詞)
clap,v,鼓掌；拍手 (動詞)
class,n,班級；課；等級 (名詞) (例如: language class; first class, second class)
classical,adj,古典的 (形容詞) (例如: classical music)
classmate,n,同學 (名詞)
classroom,n,教室 (名詞)
clean,adj,乾淨的 (形容詞)
clean,v,打掃；清潔 (動詞)
cleaner,n,清潔工；清潔劑 (名詞)
clear,adj,清楚的；清澈的；無阻礙的 (形容詞)
clear,v,清除；變清澈 (動詞)
clearly,adv,清楚地；明顯地 (副詞)
clever,adj,聰明的；靈巧的 (形容詞)
click,n,點擊聲；點擊 (名詞)
click,v,點擊；發出喀嚓聲 (動詞)
cliff,n,懸崖；峭壁 (名詞)
climate,n,氣候 (名詞)
climb,v,爬；攀登 (動詞)
climbing,n,攀登；登山運動 (名詞)
clinic,n,診所 (名詞)
clock,n,時鐘 (名詞)
close,adj,近的；親密的；緊密的 (形容詞)
close,adv,靠近地 (副詞)
close,v,關閉；結束 (動詞)
closed,adj,關閉的；不開放的 (形容詞)
clothes,n pl,衣服 (名詞複數)
cloud,n,雲 (名詞)
cloudy,adj,多雲的；陰天的 (形容詞)
clown,n,小丑 (名詞)
club,n,俱樂部；社團；棍棒 (名詞) (例如: to join a club)
coach,n,教練；長途巴士 (名詞)
coast,n,海岸 (名詞)
coat,n,外套；大衣 (名詞)
coconut,n,椰子 (名詞)
cod,n,鱈魚 (名詞)
coffee,n,咖啡 (名詞)
coin,n,硬幣 (名詞)
cola,n,可樂 (名詞)
cold,adj,冷的；冷淡的 (形容詞)
cold,n,寒冷；感冒 (名詞)
collar,n,衣領；項圈 (名詞)
colleague,n,同事 (名詞)
collect,v,收集；領取；募捐 (動詞)
collection,n,收藏品；收集 (名詞)
college,n,學院；大學 (名詞)
colour,n,顏色；色彩 (名詞) (英式拼法)
colour,v,著色 (動詞) (英式拼法)
color,n,顏色；色彩 (名詞) (美式拼法)
color,v,著色 (動詞) (美式拼法)
colourful,adj,色彩繽紛的 (形容詞) (英式拼法)
colorful,adj,色彩繽紛的 (形容詞) (美式拼法)
comb,n,梳子 (名詞)
comb,v,梳理 (動詞)
come,v,來；到來 (動詞)
comedy,n,喜劇 (名詞)
come on,phr v,快點；來吧；開始運作 (片語動詞) (例如: Come on or we'll miss the bus.)
comfort,n,舒適；安慰 (名詞)
comfortable,adj,舒適的；舒服的 (形容詞)
comic,adj,喜劇的；滑稽的 (形容詞)
comic,n,漫畫；喜劇演員 (名詞)
comma,n,逗號 (名詞)
comment,n,評論；意見 (名詞) (例如: Please leave comments below.)
common,adj,常見的；共同的；普通的 (形容詞) (例如: a common surname; have something in common)
communicate,v,溝通；傳達 (動詞)
communication,n,溝通；通訊 (名詞)
company,n,公司；陪伴；同伴 (名詞)
compare,v,比較 (動詞)
compete,v,競爭；比賽 (動詞)
competition,n,競爭；比賽 (名詞)
competitor,n,競爭者；參賽者 (名詞)
complain,v,抱怨 (動詞)
complaint,n,抱怨；投訴 (名詞)
complete,adj,完整的；完成的 (形容詞)
complete,v,完成 (動詞)
completely,adv,完全地；徹底地 (副詞)
complicated,adj,複雜的 (形容詞)
composition,n,作文；作曲；構成 (名詞)
computer,n,電腦 (名詞)
concentrate,v,專心；集中 (動詞)
concert,n,音樂會；演唱會 (名詞)
conclusion,n,結論 (名詞)
condition,n,狀況；條件 (名詞) (例如: in good condition)
conference,n,會議 (名詞)
confident,adj,自信的 (形容詞)
confirm,v,確認；證實 (動詞)
confused,adj,感到困惑的 (形容詞)
confusing,adj,令人困惑的 (形容詞)
