英文詞彙,詞性,中文解釋
grandfather,n,祖父；外祖父 (名詞)
grandma,n,奶奶；外婆 (名詞)
grandmother,n,祖母；外祖母 (名詞)
grandpa,n,爺爺；外公 (名詞)
grandparent,n,祖父母；外祖父母 (名詞)
grandson,n,孫子；外孫 (名詞)
grape,n,葡萄 (名詞)
grass,n,草；草地 (名詞)
great,adj,偉大的；很棒的；大的 (形容詞)
green,adj,綠色的 (形容詞)
grey,adj,灰色的 (形容詞)
grill,v,燒烤 (動詞)
grilled,adj,燒烤的 (形容詞)
group,n,團體；組 (名詞)
grow,v,成長；種植 (動詞)
grow up,phr v,長大；成長 (動詞片語)
guest,n,客人；賓客 (名詞)
guest-house,n,賓館；招待所 (名詞)
guide,n,導遊；指南 (名詞)
guidebook,n,旅遊指南 (名詞)
guitar,n,吉他 (名詞)
guy,n,傢伙；人 (尤指男性) (名詞) (例如：He's a really nice guy. 他是個非常好的人。)
hair,n,頭髮 (名詞)
hairdresser,n,美髮師 (名詞)
hairdryer,n,吹風機 (名詞)
half,n,一半 (名詞)
half,pron,一半 (代名詞)
hall,n,大廳；走廊 (名詞)
hallo/hello!,exclam,哈囉；你好！ (感嘆詞)
hand,n,手 (名詞)
happen,v,發生 (動詞)
happy,adj,快樂的；高興的 (形容詞)
hard,adj,硬的；困難的；努力的 (形容詞) (例如：hard wood 硬木; the homework was hard 作業很難)
hard,adv,努力地 (副詞) (例如：to work hard 努力工作)
hat,n,帽子 (名詞)
hate,v,憎恨；討厭 (動詞)
have,v,有；吃；喝；進行 (動詞)
have got,v,有 (等於have，尤用於英式英語) (動詞)
have to,v,必須；不得不 (動詞)
he,pron,他 (代名詞)
head,n,頭；頭部 (名詞) (例如：My head hurts. 我頭痛。)
health,n,健康 (名詞)
healthy,adj,健康的 (形容詞)
hear,v,聽到 (動詞)
heart,n,心臟；心 (名詞)
heating,n,暖氣；供暖系統 (名詞) (例如：Can you turn the heating on? 你可以開暖氣嗎？)
heavy,adj,重的；大量的 (形容詞) (例如：a heavy blanket 厚重的毯子)
helicopter,n,直升機 (名詞)
help,v,幫助 (動詞)
her,det,她的 (限定詞)
her,pron,她 (受格) (代名詞)
herself,pron,她自己 (反身代名詞)
here,adv,這裡；在這裡 (副詞)
hers,pron,她的 (所有格代名詞)
high,adj,高的 (形容詞)
hill,n,小山；丘陵 (名詞)
him,pron,他 (受格) (代名詞)
himself,pron,他自己 (反身代名詞)
hip hop,n,嘻哈 (音樂/文化) (名詞)
his,det,他的 (限定詞)
his,pron,他的 (所有格代名詞)
hit,v,打；擊中 (動詞)
hobby,n,嗜好；興趣 (名詞)
hockey,n,曲棍球 (名詞)
holiday(s),n,假日；假期 (名詞)
home,n,家；家庭 (名詞)
home,adv,在家；回家 (副詞)
homework,n,家庭作業 (名詞)
hope,v,希望 (動詞)
horse,n,馬 (名詞)
hospital,n,醫院 (名詞)
hot,adj,熱的；辣的 (形容詞)
hotel,n,旅館；飯店 (名詞)
hour,n,小時 (名詞)
house,n,房子；住宅 (名詞)
how,adv,如何；怎麼樣；多少 (副詞)
hungry,adj,飢餓的 (形容詞)
hurry,v,匆忙；趕快 (動詞)
hurt,v,傷害；弄痛 (動詞)
husband,n,丈夫 (名詞)
I,pron,我 (代名詞)
ice,n,冰 (名詞)
ice cream,n,冰淇淋 (名詞)
ice skating,n,滑冰 (名詞)
idea,n,想法；主意 (名詞)
if,conj,如果；是否 (連接詞)
ill,adj,生病的 (形容詞)
immediately,adv,立刻；馬上 (副詞)
important,adj,重要的 (形容詞)
impossible,adj,不可能的 (形容詞)
improve,v,改善；進步 (動詞)
in,adv,在裡面；進來 (副詞)
in,prep,在...裡面；在 (某年/月) (介係詞)
include,v,包括；包含 (動詞)
indoor,adj,室內的 (形容詞)
indoors,adv,在室內 (副詞)
information,n,資訊；情報 (名詞)
in front of,prep phr,在...前面 (介詞片語)
insect,n,昆蟲 (名詞)
inside,adv,在裡面 (副詞)
inside,prep,在...裡面 (介係詞)
instead,adv,代替地；反而 (副詞)
instead of,prep phr,代替；而不是 (介詞片語)
instructions,n pl,指示；說明 (複數名詞)
instrument,n,儀器；樂器 (名詞)
insurance,n,保險 (名詞) (例如：car insurance 汽車保險)
interested,adj,感興趣的 (形容詞)
interesting,adj,有趣的；令人感興趣的 (形容詞)
international,adj,國際的 (形容詞)
internet,n,網際網路 (名詞)
into,prep,進入；到...裡面 (介係詞)
invite,v,邀請 (動詞)
island,n,島嶼 (名詞)
it,pron,它；牠 (代名詞)
its,det,它的；牠的 (限定詞)
itself,pron,它自己；牠自己 (反身代名詞)
jacket,n,夾克 (名詞)
jam,n,果醬；擁塞 (名詞) (例如：fruit jam 水果果醬)
jeans,n pl,牛仔褲 (複數名詞)
job,n,工作；職業 (名詞)
join,v,加入；連接 (動詞)
journalist,n,記者 (名詞)
journey,n,旅行；旅程 (名詞)
juice,n,果汁 (名詞)
jump,v,跳 (動詞)
just,adv,剛才；只是；正好 (副詞) (例如：I've just seen Tom. 我剛才見到湯姆。; Just a moment. 請稍等。)
keep,v,保持；繼續；飼養 (動詞) (例如：May I keep this? 我可以保留這個嗎？; Keep right! 靠右行駛！)
key,n,鑰匙；關鍵；琴鍵 (名詞)
keyboard,n,鍵盤；電子琴 (名詞) (例如：I play the keyboard in a band. 我在樂隊裡彈電子琴。; The keyboard for my computer is broken. 我電腦的鍵盤壞了。)
kilo(gram[me]) / kg,n,公斤 (名詞)
kilometre / km,n,公里 (名詞)
kind,adj,親切的；友好的 (形容詞) (例如：That's very kind of you. 你真是太好了。)
kind,n,種類 (名詞) (例如：What kind of book do you want? 你想要哪種書？)
king,n,國王 (名詞)
kitchen,n,廚房 (名詞)
kite,n,風箏 (名詞)
knife,n,刀子 (名詞)
know,v,知道；認識 (動詞)
lake,n,湖 (名詞)
